6500: {'eps': 0.05661756776539281, 'gfn_loss': 0.10744314640760422, 'ql_loss': 0.13047900795936584, 'states_visited': 104016, 'avg_traj_length': 14.1875, 'avg_reward': 0.5099999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00031405413756147027}
6600: {'eps': 0.0514840365598222, 'gfn_loss': 0.14923354983329773, 'ql_loss': 0.23034615814685822, 'states_visited': 105616, 'avg_traj_length': 16.5625, 'avg_reward': 1.0412499904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003097078006248921}
6700: {'eps': 0.04672237899762049, 'gfn_loss': 0.20712366700172424, 'ql_loss': 0.0976097509264946, 'states_visited': 107216, 'avg_traj_length': 15.8125, 'avg_reward': 0.5412499904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00030549924122169614}
6800: {'eps': 0.042528575988743995, 'gfn_loss': 0.16951890289783478, 'ql_loss': 0.1391369253396988, 'states_visited': 108816, 'avg_traj_length': 13.875, 'avg_reward': 0.6349999904632568, 'max_traj_length': 21.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00030138794681988657}
6900: {'eps': 0.03851803962216637, 'gfn_loss': 0.13263775408267975, 'ql_loss': 0.24858908355236053, 'states_visited': 110416, 'avg_traj_length': 14.375, 'avg_reward': 0.7599999904632568, 'max_traj_length': 23.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00029732289840467274}
7000: {'eps': 0.03520125245733043, 'gfn_loss': 0.14478148519992828, 'ql_loss': 0.1913902461528778, 'states_visited': 112016, 'avg_traj_length': 13.75, 'avg_reward': 0.9474999904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002933262148872018}
7100: {'eps': 0.03197753519540836, 'gfn_loss': 0.08493971824645996, 'ql_loss': 0.1670876294374466, 'states_visited': 113616, 'avg_traj_length': 15.0, 'avg_reward': 0.41624999046325684, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002893963537644595}
7200: {'eps': 0.02896198471357129, 'gfn_loss': 0.021234894171357155, 'ql_loss': 0.1773819774389267, 'states_visited': 115216, 'avg_traj_length': 13.5, 'avg_reward': 0.7599999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002855801139958203}
7300: {'eps': 0.02628334755256497, 'gfn_loss': 0.036084000021219254, 'ql_loss': 0.13237053155899048, 'states_visited': 116816, 'avg_traj_length': 16.125, 'avg_reward': 0.5724999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00028176684281788766}
7400: {'eps': 0.02385245228878305, 'gfn_loss': 0.07382061332464218, 'ql_loss': 0.1475226879119873, 'states_visited': 118416, 'avg_traj_length': 14.875, 'avg_reward': 0.7287499904632568, 'max_traj_length': 25.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002781300281640142}
7500: {'eps': 0.021624739374304553, 'gfn_loss': 0.06160375848412514, 'ql_loss': 0.2619716227054596, 'states_visited': 120016, 'avg_traj_length': 17.125, 'avg_reward': 1.1974999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002744762459769845}
7600: {'eps': 0.019605084934034504, 'gfn_loss': 0.026626240462064743, 'ql_loss': 0.15714821219444275, 'states_visited': 121616, 'avg_traj_length': 16.6875, 'avg_reward': 0.6974999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00027101841988041997}
7700: {'eps': 0.017845331557824338, 'gfn_loss': 0.042918525636196136, 'ql_loss': 0.24899522960186005, 'states_visited': 123216, 'avg_traj_length': 14.6875, 'avg_reward': 1.1037499904632568, 'max_traj_length': 25.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002676314616110176}
7800: {'eps': 0.01621106290623545, 'gfn_loss': 0.03003741055727005, 'ql_loss': 0.15508019924163818, 'states_visited': 124816, 'avg_traj_length': 16.375, 'avg_reward': 0.44749999046325684, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002644057385623455}
7900: {'eps': 0.014711733493921197, 'gfn_loss': 0.27034223079681396, 'ql_loss': 0.2251601219177246, 'states_visited': 126416, 'avg_traj_length': 13.9375, 'avg_reward': 0.7912499904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00026131729828193784}
8000: {'eps': 0.01336443855676976, 'gfn_loss': 0.05663758143782616, 'ql_loss': 0.23959222435951233, 'states_visited': 128016, 'avg_traj_length': 18.25, 'avg_reward': 0.7599999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002581685548648238}
8100: {'eps': 0.01211625945940831, 'gfn_loss': 0.016410939395427704, 'ql_loss': 0.17900720238685608, 'states_visited': 129616, 'avg_traj_length': 15.25, 'avg_reward': 0.8224999904632568, 'max_traj_length': 26.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002550866629462689}
8200: {'eps': 0.010984654736082263, 'gfn_loss': 0.029997631907463074, 'ql_loss': 0.17909826338291168, 'states_visited': 131216, 'avg_traj_length': 14.25, 'avg_reward': 0.9474999904632568, 'max_traj_length': 25.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00025209144223481417}
8300: {'eps': 0.01, 'gfn_loss': 0.02964991144835949, 'ql_loss': 0.1660609096288681, 'states_visited': 132816, 'avg_traj_length': 13.0625, 'avg_reward': 0.7287499904632568, 'max_traj_length': 21.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002490407496225089}
8400: {'eps': 0.01, 'gfn_loss': 0.06490570306777954, 'ql_loss': 0.18067486584186554, 'states_visited': 134416, 'avg_traj_length': 17.3125, 'avg_reward': 1.1037499904632568, 'max_traj_length': 29.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00024627576931379735}
8500: {'eps': 0.01, 'gfn_loss': 0.06502585113048553, 'ql_loss': 0.17606231570243835, 'states_visited': 136016, 'avg_traj_length': 16.375, 'avg_reward': 0.5724999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00024347058206330985}
8600: {'eps': 0.01, 'gfn_loss': 0.02347370982170105, 'ql_loss': 0.21970234811306, 'states_visited': 137616, 'avg_traj_length': 15.125, 'avg_reward': 1.1349999904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00024067350022960454}
8700: {'eps': 0.01, 'gfn_loss': 0.06613515317440033, 'ql_loss': 0.12136798352003098, 'states_visited': 139216, 'avg_traj_length': 15.1875, 'avg_reward': 0.5099999904632568, 'max_traj_length': 23.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0002379570360062644}
8800: {'eps': 0.01, 'gfn_loss': 0.07882345467805862, 'ql_loss': 0.16027824580669403, 'states_visited': 140816, 'avg_traj_length': 16.0625, 'avg_reward': 0.6974999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00023530182079412043}
8900: {'eps': 0.01, 'gfn_loss': 0.10370513051748276, 'ql_loss': 0.21507765352725983, 'states_visited': 142416, 'avg_traj_length': 14.4375, 'avg_reward': 0.8537499904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00023272955149877816}
9000: {'eps': 0.01, 'gfn_loss': 0.013981669209897518, 'ql_loss': 0.18128560483455658, 'states_visited': 144016, 'avg_traj_length': 13.75, 'avg_reward': 0.8849999904632568, 'max_traj_length': 25.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00023024286201689392}
9100: {'eps': 0.01, 'gfn_loss': 0.058525025844573975, 'ql_loss': 0.20682473480701447, 'states_visited': 145616, 'avg_traj_length': 15.75, 'avg_reward': 0.7599999904632568, 'max_traj_length': 28.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00022785653709433973}
9200: {'eps': 0.01, 'gfn_loss': 0.03286726772785187, 'ql_loss': 0.23225905001163483, 'states_visited': 147216, 'avg_traj_length': 12.9375, 'avg_reward': 0.9162499904632568, 'max_traj_length': 21.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00022548520064447075}
9300: {'eps': 0.01, 'gfn_loss': 0.029503993690013885, 'ql_loss': 0.21970903873443604, 'states_visited': 148816, 'avg_traj_length': 14.0625, 'avg_reward': 0.7912499904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00022310807253234088}
