5800: {'eps': 0.05461460345792028, 'loss': 0.01353588979691267, 'states_visited': 92816, 'avg_traj_length': 4.8125, 'avg_reward': 2.250999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004125635023228824}
5900: {'eps': 0.04941486432645551, 'loss': 0.05716559290885925, 'states_visited': 94416, 'avg_traj_length': 4.9375, 'avg_reward': 2.375999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004124634142499417}
6000: {'eps': 0.04471018119326632, 'loss': 0.048963744193315506, 'states_visited': 96016, 'avg_traj_length': 5.5, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004123564576730132}
6100: {'eps': 0.04045342083969842, 'loss': 0.01443946361541748, 'states_visited': 97616, 'avg_traj_length': 5.625, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.000412403023801744}
6200: {'eps': 0.036601937499645174, 'loss': 0.07610377669334412, 'states_visited': 99216, 'avg_traj_length': 5.25, 'avg_reward': 2.344749689102173, 'max_traj_length': 9.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041243823943659663}
6300: {'eps': 0.03311714561882573, 'loss': 0.043436311185359955, 'states_visited': 100816, 'avg_traj_length': 5.1875, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004125159466639161}
6400: {'eps': 0.029964133290734697, 'loss': 0.003358012530952692, 'states_visited': 102416, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004126436833757907}
6500: {'eps': 0.027111312496525212, 'loss': 0.016463840380311012, 'states_visited': 104016, 'avg_traj_length': 6.25, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041280037839896977}
6600: {'eps': 0.024530102644801786, 'loss': 0.0041412594728171825, 'states_visited': 105616, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004129816370550543}
6700: {'eps': 0.02219464424090988, 'loss': 0.06470739841461182, 'states_visited': 107216, 'avg_traj_length': 4.9375, 'avg_reward': 2.344749689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041319685988128185}
6800: {'eps': 0.02008153981715775, 'loss': 0.000869463779963553, 'states_visited': 108816, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.000413455069065094}
6900: {'eps': 0.0181696195285156, 'loss': 0.0033139626029878855, 'states_visited': 110416, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041372791747562587}
7000: {'eps': 0.0164397290654448, 'loss': 7.128660217858851e-05, 'states_visited': 112016, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041409762343391776}
7100: {'eps': 0.014874537759091451, 'loss': 0.019419657066464424, 'states_visited': 113616, 'avg_traj_length': 4.8125, 'avg_reward': 2.375999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004143709084019065}
7200: {'eps': 0.013458364956372294, 'loss': 8.330828131875023e-05, 'states_visited': 115216, 'avg_traj_length': 5.0, 'avg_reward': 2.500999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041470027645118535}
7300: {'eps': 0.012177022925515993, 'loss': 0.0023244721814990044, 'states_visited': 116816, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004150038294028491}
7400: {'eps': 0.011017674718230475, 'loss': 0.002932525472715497, 'states_visited': 118416, 'avg_traj_length': 5.3125, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004153609916102141}
7500: {'eps': 0.01, 'loss': 0.03851339966058731, 'states_visited': 120016, 'avg_traj_length': 4.875, 'avg_reward': 2.375999689102173, 'max_traj_length': 5.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004157127987127751}
